year,country,(ISO),Refugees,Asylum-seekers,total
2013,Armenia,ARM,11090,42,11132
2013,Australia,AUS,265,138,403
2013,Austria,AUT,2748,1561,4309
2013,Azerbaijan,AZE,9,5,14
2013,Belgium,BEL,1987,378,2365
2013,Belarus,BLR,35,25,60
2013,Bolivia (Plurinational State of),BOL,5,0,5
2013,Brazil,BRA,333,70,403
2013,Bosnia and Herzegovina,BIH,48,18,66
2013,Bulgaria,BGR,2104,2500,4604
2013,Canada,CAN,592,435,1027
2013,Chad,TCD,15,0,15
2013,Chile,CHL,5,5,10
2013,Cameroon,CMR,0,7,7
2013,Costa Rica,CRI,0,5,5
2013,Cuba,CUB,24,0,24
2013,Cyprus,CYP,316,1319,1635
2013,Czechia,CZE,149,25,174
2013,Denmark,DNK,3271,86,3357
2013,Dominican Rep.,DOM,5,0,5
2013,Ecuador,ECU,11,5,16
2013,Estonia,EST,0,10,10
2013,Finland,FIN,352,77,429
2013,France,FRA,1474,343,1817
2013,United Kingdom of Great Britain and Northern Ireland,GBR,3169,641,3810
2013,Georgia,GEO,516,26,542
2013,Germany,DEU,21253,10566,31819
2013,Ghana,GHA,0,55,55
2013,Greece,GRC,195,1665,1860
2013,Croatia,HRV,22,36,58
2013,Hungary,HUN,141,184,325
2013,Iceland,ISL,7,10,17
2013,Cote d'Ivoire,CIV,0,12,12
2013,India,IND,18,12,30
2013,Indonesia,IDN,36,43,79
2013,Ireland,IRL,71,13,84
2013,Iraq,IRQ,212809,1164,213973
2013,Italy,ITA,840,278,1118
2013,Jordan,JOR,585304,0,585304
2013,Japan,JPN,26,0,26
2013,Kazakhstan,KAZ,7,21,28
2013,Kyrgyzstan,KGZ,14,78,92
2013,Rep. of Korea,KOR,0,431,431
2013,Kuwait,KWT,13,8,21
2013,Liberia,LBR,0,8,8
2013,Libya,LBY,16796,0,16796
2013,Lebanon,LBN,851284,332,851616
2013,Lithuania,LTU,18,5,23
2013,Luxembourg,LUX,5,23,28
2013,Latvia,LVA,33,12,45
2013,Mauritania,MRT,5,41,46
2013,North Macedonia,MKD,0,205,205
2013,Rep. of Moldova,MDA,139,27,166
2013,Mexico,MEX,13,0,13
2013,Malaysia,MYS,101,720,821
2013,Montenegro,MNE,0,60,60
2013,Mongolia,MNG,0,5,5
2013,Morocco,MAR,856,0,856
2013,Malta,MLT,776,102,878
2013,Netherlands,NLD,3404,0,3404
2013,Niger,NER,6,0,6
2013,Nigeria,NGA,9,10,19
2013,Norway,NOR,1311,259,1570
2013,New Zealand,NZL,43,7,50
2013,Oman,OMN,7,5,12
2013,Pakistan,PAK,13,0,13
2013,Peru,PER,5,0,5
2013,Philippines,PHL,7,21,28
2013,Poland,POL,108,100,208
2013,Portugal,PRT,14,8,22
2013,Qatar,QAT,8,0,8
2013,Romania,ROU,932,91,1023
2013,South Africa,ZAF,8,10,18
2013,Russian Federation,RUS,1163,839,2002
2013,Saudi Arabia,SAU,14,12,26
2013,Senegal,SEN,0,5,5
2013,Somalia,SOM,0,8,8
2013,Spain,ESP,180,743,923
2013,Serbia and Kosovo: S/RES/1244 (1999),SRB,5,60,65
2013,Sudan,SDN,84,224,308
2013,Slovakia,SVK,26,0,26
2013,Slovenia,SVN,9,0,9
2013,Sweden,SWE,17984,6808,24792
2013,Switzerland,CHE,2012,2849,4861
2013,United Rep. of Tanzania,TZA,0,6,6
2013,Thailand,THA,44,144,188
2013,Tunisia,TUN,164,0,164
2013,Turkey,TUR,585601,110,585711
2013,United Arab Emirates,ARE,16,14,30
2013,Uganda,UGA,0,8,8
2013,Ukraine,UKR,167,591,758
2013,United States of America,USA,3802,1378,5180
2013,Yemen,YEM,54,1761,1815
2013,Zambia,ZMB,0,5,5
2014,Albania,ALB,5,8,13
2014,Algeria,DZA,0,4108,4108
2014,Egypt,EGY,138381,0,138381
2014,Argentina,ARG,233,22,255
2014,Armenia,ARM,14994,9,15003
2014,Australia,AUS,302,172,474
2014,Austria,AUT,6653,0,6653
2014,Azerbaijan,AZE,7,7,14
2014,Belgium,BEL,2620,733,3353
2014,Belarus,BLR,72,48,120
2014,Bolivia (Plurinational State of),BOL,6,0,6
2014,Brazil,BRA,1739,76,1815
2014,Bosnia and Herzegovina,BIH,25,0,25
2014,Bulgaria,BGR,8501,2510,11011
2014,Canada,CAN,705,184,889
2014,Central African Rep.,CAF,0,8,8
2014,Chad,TCD,15,5,20
2014,China,CHN,5,0,5
2014,Chile,CHL,6,10,16
2014,Cameroon,CMR,0,11,11
2014,Colombia,COL,5,0,5
2014,Costa Rica,CRI,5,5,10
2014,Cuba,CUB,20,0,20
2014,Cyprus,CYP,1451,1110,2561
2014,Czechia,CZE,236,54,290
2014,Denmark,DNK,7253,1468,8721
2014,Djibouti,DJI,0,5,5
2014,Ecuador,ECU,13,0,13
2014,Estonia,EST,6,5,11
2014,Ethiopia,ETH,0,8,8
2014,Finland,FIN,438,55,493
2014,France,FRA,2882,1239,4121
2014,United Kingdom of Great Britain and Northern Ireland,GBR,4573,1329,5902
2014,Georgia,GEO,471,35,506
2014,Germany,DEU,40994,29591,70585
2014,Ghana,GHA,5,73,78
2014,Greece,GRC,3913,182,4095
2014,Croatia,HRV,22,6,28
2014,Hungary,HUN,334,823,1157
2014,Iceland,ISL,7,5,12
2014,Cote d'Ivoire,CIV,5,16,21
2014,India,IND,27,18,45
2014,Indonesia,IDN,43,42,85
2014,Ireland,IRL,176,12,188
2014,Iraq,IRQ,234196,1225,235421
2014,Italy,ITA,1144,331,1475
2014,Jamaica,JAM,5,0,5
2014,Jordan,JOR,623112,0,623112
2014,Japan,JPN,41,12,53
2014,Kazakhstan,KAZ,14,29,43
2014,Kenya,KEN,0,5,5
2014,Kyrgyzstan,KGZ,56,16,72
2014,Rep. of Korea,KOR,503,64,567
2014,Kuwait,KWT,15,7,22
2014,Liberia,LBR,6,0,6
2014,Libya,LBY,18653,0,18653
2014,Lebanon,LBN,1147494,418,1147912
2014,Liechtenstein,LIE,5,0,5
2014,Sri Lanka,LKA,5,5,10
2014,Lithuania,LTU,20,5,25
2014,Luxembourg,LUX,59,59,118
2014,Latvia,LVA,52,17,69
2014,Mauritania,MRT,41,54,95
2014,North Macedonia,MKD,11,654,665
2014,Rep. of Moldova,MDA,186,22,208
2014,Mexico,MEX,13,6,19
2014,Mali,MLI,16,0,16
2014,Malaysia,MYS,447,530,977
2014,Montenegro,MNE,0,36,36
2014,Mongolia,MNG,5,0,5
2014,Morocco,MAR,647,0,647
2014,Malta,MLT,1047,34,1081
2014,Netherlands,NLD,8692,2323,11015
2014,Niger,NER,6,0,6
2014,Nigeria,NGA,11,17,28
2014,Norway,NOR,2568,828,3396
2014,Nauru,NRU,0,5,5
2014,New Zealand,NZL,48,6,54
2014,Oman,OMN,7,6,13
2014,Pakistan,PAK,16,0,16
2014,Paraguay,PRY,7,9,16
2014,Peru,PER,20,0,20
2014,Philippines,PHL,19,35,54
2014,Poland,POL,240,34,274
2014,Portugal,PRT,15,15,30
2014,Qatar,QAT,14,0,14
2014,Romania,ROU,1278,112,1390
2014,South Africa,ZAF,28,36,64
2014,Russian Federation,RUS,1927,413,2340
2014,Saudi Arabia,SAU,18,12,30
2014,Senegal,SEN,0,21,21
2014,Somalia,SOM,0,63,63
2014,Spain,ESP,1336,781,2117
2014,Serbia and Kosovo: S/RES/1244 (1999),SRB,6,238,244
2014,Sudan,SDN,797,238,1035
2014,Slovakia,SVK,40,0,40
2014,Slovenia,SVN,20,8,28
2014,Sweden,SWE,34285,19011,53296
2014,Switzerland,CHE,5161,3501,8662
2014,Thailand,THA,82,168,250
2014,Togo,TGO,0,6,6
2014,Trinidad and Tobago,TTO,8,13,21
2014,Tunisia,TUN,558,0,558
2014,Turkey,TUR,1557899,250,1558149
2014,United Arab Emirates,ARE,28,12,40
2014,Uganda,UGA,0,13,13
2014,Ukraine,UKR,341,593,934
2014,Uruguay,URY,48,11,59
2014,United States of America,USA,4750,2302,7052
2014,Yemen,YEM,2276,1039,3315
2014,Zambia,ZMB,0,9,9
2015,Albania,ALB,5,0,5
2015,Algeria,DZA,0,6211,6211
2015,Antigua and Barbuda,ATG,15,0,15
2015,Egypt,EGY,117635,0,117635
2015,Argentina,ARG,276,98,374
2015,Armenia,ARM,16611,11,16622
2015,Australia,AUS,301,134,435
2015,Austria,AUT,14894,18669,33563
2015,Azerbaijan,AZE,8,7,15
2015,Belgium,BEL,4239,3870,8109
2015,Belarus,BLR,138,7,145
2015,Bolivia (Plurinational State of),BOL,7,0,7
2015,Brazil,BRA,2271,1154,3425
2015,Bosnia and Herzegovina,BIH,14,5,19
2015,Bulgaria,BGR,13819,1683,15502
2015,Canada,CAN,1513,235,1748
2015,Central African Rep.,CAF,0,8,8
2015,Chad,TCD,6,22,28
2015,China,CHN,14,24,38
2015,Chile,CHL,13,11,24
2015,Cameroon,CMR,15,7,22
2015,Congo,COG,5,5,10
2015,Dem. Rep. of the Congo,COD,7,0,7
2015,Colombia,COL,7,0,7
2015,Costa Rica,CRI,8,0,8
2015,Cuba,CUB,41,0,41
2015,Curacao ,CUW,0,5,5
2015,Cyprus,CYP,3110,692,3802
2015,Czechia,CZE,365,42,407
2015,Denmark,DNK,12988,825,13813
2015,Djibouti,DJI,5,0,5
2015,Ecuador,ECU,17,0,17
2015,Estonia,EST,6,0,6
2015,Ethiopia,ETH,9,15,24
2015,Finland,FIN,565,705,1270
2015,France,FRA,5179,2711,7890
2015,United Kingdom of Great Britain and Northern Ireland,GBR,6496,1648,8144
2015,Georgia,GEO,475,10,485
2015,Germany,DEU,115604,81582,197186
2015,Ghana,GHA,47,49,96
2015,Greece,GRC,9101,450,9551
2015,Croatia,HRV,23,5,28
2015,Hungary,HUN,476,18607,19083
2015,Iceland,ISL,37,0,37
2015,Cote d'Ivoire,CIV,20,8,28
2015,India,IND,41,20,61
2015,Indonesia,IDN,61,32,93
2015,Ireland,IRL,109,50,159
2015,Iraq,IRQ,244642,0,244642
2015,Italy,ITA,1460,246,1706
2015,Jamaica,JAM,5,0,5
2015,Jordan,JOR,628223,0,628223
2015,Japan,JPN,59,0,59
2015,Kazakhstan,KAZ,23,16,39
2015,Kenya,KEN,9,8,17
2015,Kyrgyzstan,KGZ,55,12,67
2015,Rep. of Korea,KOR,646,320,966
2015,Kuwait,KWT,14,6,20
2015,Liberia,LBR,6,5,11
2015,Libya,LBY,97,18591,18688
2015,Lebanon,LBN,1062690,16,1062706
2015,Liechtenstein,LIE,23,0,23
2015,Sri Lanka,LKA,5,11,16
2015,Lithuania,LTU,23,5,28
2015,Luxembourg,LUX,177,593,770
2015,Latvia,LVA,65,5,70
2015,Mauritania,MRT,215,107,322
2015,North Macedonia,MKD,13,5,18
2015,Rep. of Moldova,MDA,206,8,214
2015,Mexico,MEX,18,0,18
2015,Mali,MLI,82,9,91
2015,Malaysia,MYS,473,829,1302
2015,Morocco,MAR,2619,0,2619
2015,Malta,MLT,1328,161,1489
2015,Netherlands,NLD,16184,12718,28902
2015,Niger,NER,6,0,6
2015,Nigeria,NGA,32,41,73
2015,Norway,NOR,4121,9128,13249
2015,Nauru,NRU,0,5,5
2015,New Zealand,NZL,52,5,57
2015,Oman,OMN,7,5,12
2015,Pakistan,PAK,16,9,25
2015,Paraguay,PRY,30,27,57
2015,Peru,PER,29,0,29
2015,Philippines,PHL,36,40,76
2015,Poland,POL,445,36,481
2015,Portugal,PRT,17,28,45
2015,Qatar,QAT,14,0,14
2015,Romania,ROU,1591,96,1687
2015,South Africa,ZAF,31,58,89
2015,Russian Federation,RUS,1304,393,1697
2015,El Salvador,SLV,5,0,5
2015,Saudi Arabia,SAU,9,0,9
2015,Senegal,SEN,0,21,21
2015,Somalia,SOM,24,101,125
2015,Spain,ESP,1992,3280,5272
2015,Serbia and Kosovo: S/RES/1244 (1999),SRB,11,0,11
2015,Sudan,SDN,2692,527,3219
2015,Slovakia,SVK,47,0,47
2015,Slovenia,SVN,30,9,39
2015,Sweden,SWE,52707,49286,101993
2015,Switzerland,CHE,8695,4462,13157
2015,Sint Maarten (Dutch part),SXM,0,5,5
2015,Thailand,THA,95,243,338
2015,Togo,TGO,5,6,11
2015,Trinidad and Tobago,TTO,22,25,47
2015,Tunisia,TUN,499,0,499
2015,Turkey,TUR,2503549,297,2503846
2015,United Arab Emirates,ARE,36,109,145
2015,Uganda,UGA,6,11,17
2015,Ukraine,UKR,399,566,965
2015,Uruguay,URY,58,9,67
2015,United States of America,USA,5651,3118,8769
2015,Yemen,YEM,3011,615,3626
2015,Zambia,ZMB,6,8,14
2016,Albania,ALB,5,0,5
2016,Algeria,DZA,0,5329,5329
2016,Antigua and Barbuda,ATG,5,0,5
