year,country,(ISO),Refugees,Asylum-seekers,total
2021,Albania,ALB,15,6,21
2021,Algeria,DZA,6659,0,6659
2021,Angola,AGO,0,5,5
2021,Egypt,EGY,136727,0,136727
2021,Argentina,ARG,433,98,531
2021,Armenia,ARM,5335,8,5343
2021,Australia,AUS,640,53,693
2021,Austria,AUT,62408,10558,72966
2021,Azerbaijan,AZE,33,0,33
2021,Bahrain,BHR,5,36,41
2021,Belgium,BEL,19188,1980,21168
2021,Benin,BEN,32,12,44
2021,Burkina Faso,BFA,5,0,5
2021,Belarus,BLR,68,8,76
2021,Bolivia (Plurinational State of),BOL,22,0,22
2021,Brazil,BRA,3920,3969,7889
2021,Bosnia and Herzegovina,BIH,28,5,33
2021,Bulgaria,BGR,20067,2368,22435
2021,Canada,CAN,190,164,354
2021,Chad,TCD,48,19,67
2021,China,CHN,43,5,48
2021,Chile,CHL,113,32,145
2021,Cameroon,CMR,5,10,15
2021,Congo,COG,5,13,18
2021,Dem. Rep. of the Congo,COD,12,12,24
2021,Colombia,COL,11,7,18
2021,Costa Rica,CRI,5,25,30
2021,Cuba,CUB,36,9,45
2021,Cyprus,CYP,10735,5545,16280
2021,Czechia,CZE,358,0,358
2021,Denmark,DNK,19706,222,19928
2021,Djibouti,DJI,14,5,19
2021,Ecuador,ECU,157,0,157
2021,Estonia,EST,105,0,105
2021,Ethiopia,ETH,38,629,667
2021,Finland,FIN,2660,66,2726
2021,France,FRA,37375,1369,38744
2021,United Kingdom of Great Britain and Northern Ireland,GBR,11980,4795,16775
2021,Georgia,GEO,444,18,462
2021,Germany,DEU,621740,53750,675490
2021,Ghana,GHA,229,70,299
2021,Greece,GRC,39372,3933,43305
2021,Guinea,GIN,14,0,14
2021,Croatia,HRV,548,12,560
2021,Hungary,HUN,869,0,869
2021,Iceland,ISL,195,16,211
2021,Cote d'Ivoire,CIV,148,9,157
2021,India,IND,69,64,133
2021,Indonesia,IDN,20,24,44
2021,Ireland,IRL,2832,53,2885
2021,Iraq,IRQ,254561,0,254561
2021,Italy,ITA,3527,903,4430
2021,Jordan,JOR,672952,0,672952
2021,Japan,JPN,93,0,93
2021,Kazakhstan,KAZ,14,11,25
2021,Kenya,KEN,5,5,10
2021,Kyrgyzstan,KGZ,75,6,81
2021,Rep. of Korea,KOR,1250,28,1278
2021,Kuwait,KWT,150,104,254
2021,Liberia,LBR,27,18,45
2021,Libya,LBY,492,12632,13124
2021,Lebanon,LBN,840929,0,840929
2021,Liechtenstein,LIE,32,0,32
2021,Lithuania,LTU,463,5,468
2021,Luxembourg,LUX,2409,415,2824
2021,Latvia,LVA,312,5,317
2021,Madagascar,MDG,5,0,5
2021,Mauritania,MRT,368,141,509
2021,North Macedonia,MKD,17,0,17
2021,Monaco,MCO,5,0,5
2021,Rep. of Moldova,MDA,166,7,173
2021,Mexico,MEX,34,35,69
2021,Mali,MLI,24,433,457
2021,Malaysia,MYS,449,2858,3307
2021,Morocco,MAR,5082,0,5082
2021,Malta,MLT,1918,412,2330
2021,Netherlands,NLD,39388,6362,45750
2021,Niger,NER,5,0,5
2021,Nigeria,NGA,422,482,904
2021,Norway,NOR,15865,315,16180
2021,Nauru,NRU,0,5,5
2021,New Zealand,NZL,72,0,72
2021,Oman,OMN,8,27,35
2021,Pakistan,PAK,50,23,73
2021,Paraguay,PRY,84,17,101
2021,Peru,PER,47,11,58
2021,Philippines,PHL,130,44,174
2021,Poland,POL,254,62,316
2021,Portugal,PRT,861,0,861
2021,Qatar,QAT,30,109,139
2021,Romania,ROU,2258,179,2437
2021,South Africa,ZAF,38,20,58
2021,Russian Federation,RUS,297,62,359
2021,El Salvador,SLV,5,0,5
2021,Saudi Arabia,SAU,186,9884,10070
2021,Senegal,SEN,0,14,14
2021,Somalia,SOM,991,65,1056
2021,Spain,ESP,14987,1605,16592
2021,Serbia and Kosovo: S/RES/1244 (1999),SRB,45,9,54
2021,Sudan,SDN,93482,0,93482
2021,Slovakia,SVK,25,0,25
2021,Slovenia,SVN,326,13,339
2021,Sweden,SWE,115233,1510,116743
2021,Switzerland,CHE,20146,255,20401
2021,United Rep. of Tanzania,TZA,5,19,24
2021,Thailand,THA,215,5,220
2021,Togo,TGO,18,8,26
2021,Trinidad and Tobago,TTO,64,38,102
2021,Tunisia,TUN,2523,0,2523
2021,Turkey,TUR,3737369,0,3737369
2021,United Arab Emirates,ARE,439,6526,6965
2021,Uganda,UGA,18,8,26
2021,Ukraine,UKR,512,147,659
2021,Uruguay,URY,66,5,71
2021,United States of America,USA,8799,3500,12299
2021,Venezuela (Bolivarian Republic of),VEN,33,0,33
2021,Yemen,YEM,2513,420,2933
2021,Zambia,ZMB,36,5,41
