year,country,(ISO),Refugees,Asylum-seekers,total
2019,Albania,ALB,13,0,13
2019,Algeria,DZA,7757,0,7757
2019,Egypt,EGY,129210,0,129210
2019,Argentina,ARG,401,73,474
2019,Armenia,ARM,14730,16,14746
2019,Australia,AUS,613,79,692
2019,Austria,AUT,51955,1304,53259
2019,Azerbaijan,AZE,20,0,20
2019,Belgium,BEL,16604,1019,17623
2019,Benin,BEN,12,13,25
2019,Burkina Faso,BFA,5,0,5
2019,Belarus,BLR,68,0,68
2019,Bolivia (Plurinational State of),BOL,21,0,21
2019,Brazil,BRA,3761,4242,8003
2019,Bosnia and Herzegovina,BIH,21,46,67
2019,Bulgaria,BGR,17551,297,17848
2019,Canada,CAN,5,303,308
2019,Chad,TCD,35,8,43
2019,China,CHN,50,13,63
2019,Chile,CHL,112,33,145
2019,Cameroon,CMR,24,5,29
2019,Congo,COG,0,13,13
2019,Dem. Rep. of the Congo,COD,5,26,31
2019,Colombia,COL,8,8,16
2019,Costa Rica,CRI,5,24,29
2019,Cuba,CUB,40,0,40
2019,Cyprus,CYP,7372,4073,11445
2019,Czechia,CZE,408,18,426
2019,Denmark,DNK,20046,210,20256
2019,Djibouti,DJI,10,0,10
2019,Ecuador,ECU,146,38,184
2019,Estonia,EST,127,0,127
2019,Ethiopia,ETH,0,410,410
2019,Finland,FIN,2585,77,2662
2019,France,FRA,18244,3244,21488
2019,United Kingdom of Great Britain and Northern Ireland,GBR,10389,1228,11617
2019,Georgia,GEO,91,26,117
2019,Germany,DEU,572818,41280,614098
2019,Ghana,GHA,167,113,280
2019,Greece,GRC,26696,16165,42861
2019,Guinea,GIN,14,0,14
2019,Croatia,HRV,527,10,537
2019,Hungary,HUN,934,7,941
2019,Iceland,ISL,109,19,128
2019,Cote d'Ivoire,CIV,132,11,143
2019,India,IND,70,29,99
2019,Indonesia,IDN,23,19,42
2019,Ireland,IRL,2882,54,2936
2019,Iraq,IRQ,245810,0,245810
2019,Italy,ITA,4781,917,5698
2019,Jordan,JOR,654692,0,654692
2019,Japan,JPN,69,0,69
2019,Kazakhstan,KAZ,14,19,33
2019,Kenya,KEN,5,5,10
2019,Kyrgyzstan,KGZ,86,5,91
2019,Rep. of Korea,KOR,1199,60,1259
2019,Kuwait,KWT,106,100,206
2019,Liberia,LBR,11,0,11
2019,Libya,LBY,612,16738,17350
2019,Lebanon,LBN,910586,0,910586
2019,Liechtenstein,LIE,32,0,32
2019,Sri Lanka,LKA,5,0,5
2019,Lithuania,LTU,453,6,459
2019,Luxembourg,LUX,951,200,1151
2019,Latvia,LVA,354,0,354
2019,Madagascar,MDG,5,0,5
2019,Mauritania,MRT,355,36,391
2019,North Macedonia,MKD,17,14,31
2019,Rep. of Moldova,MDA,210,5,215
2019,Mexico,MEX,29,8,37
2019,Mali,MLI,20,413,433
2019,Malaysia,MYS,425,2861,3286
2019,Montenegro,MNE,0,14,14
2019,Morocco,MAR,3676,0,3676
2019,Malta,MLT,1706,482,2188
2019,Netherlands,NLD,31694,3092,34786
2019,Niger,NER,7,0,7
2019,Nigeria,NGA,263,132,395
2019,Norway,NOR,14359,252,14611
2019,Nauru,NRU,0,5,5
2019,New Zealand,NZL,69,5,74
2019,Oman,OMN,8,0,8
2019,Pakistan,PAK,43,0,43
2019,Panama,PAN,0,12,12
2019,Paraguay,PRY,88,11,99
2019,Peru,PER,42,12,54
2019,Philippines,PHL,115,41,156
2019,Poland,POL,542,23,565
2019,Portugal,PRT,768,5,773
2019,Qatar,QAT,34,0,34
2019,Romania,ROU,2090,146,2236
2019,South Africa,ZAF,40,20,60
2019,Russian Federation,RUS,593,110,703
2019,El Salvador,SLV,5,0,5
2019,Saudi Arabia,SAU,152,2220,2372
2019,Senegal,SEN,0,14,14
2019,Somalia,SOM,245,21,266
2019,Spain,ESP,14133,2805,16938
2019,Serbia and Kosovo: S/RES/1244 (1999),SRB,25,25,50
2019,Sudan,SDN,93495,0,93495
2019,Slovakia,SVK,14,5,19
2019,Slovenia,SVN,307,15,322
2019,Sweden,SWE,113418,2226,115644
2019,Switzerland,CHE,18755,918,19673
2019,United Rep. of Tanzania,TZA,5,16,21
2019,Thailand,THA,217,8,225
2019,Togo,TGO,6,11,17
2019,Trinidad and Tobago,TTO,58,38,96
2019,Tunisia,TUN,1382,0,1382
2019,Turkey,TUR,3576370,0,3576370
2019,United Arab Emirates,ARE,333,6575,6908
2019,Uganda,UGA,6,10,16
2019,Ukraine,UKR,462,161,623
2019,Uruguay,URY,61,7,68
2019,United States of America,USA,8449,2660,11109
2019,Venezuela (Bolivarian Republic of),VEN,5,0,5
2019,Yemen,YEM,3551,407,3958
2019,Zambia,ZMB,15,6,21
