group,fValue,fPercent,mValue,mPercent
0-04,407545,14,432952,12
05-11,641783,21,681023,20
12-17,377929,13,411655,12
18-59,1476408,49,1838029,53
60+,108935,4,97747,3
Other,6104,0,23454,1
