group,fValue,fPercent,mValue,mPercent
0-04,166322,15,175290,14
05-11,229837,21,245426,20
12-17,133791,12,155948,13
18-59,526982,48,608151,49
60+,36554,3,29808,2
Other,9878,1,16525,1
