group,fValue,fPercent,mValue,mPercent
0-04,166827,18,174097,19
05-11,174175,19,183920,20
12-17,111858,12,120231,13
18-59,431962,47,430766,46
60+,29552,3,23208,2
Other,1287,0,2648,0
