group,fValue,fPercent,mValue,mPercent
0-04,211036,17,220097,18
05-11,246596,20,259957,21
12-17,182852,15,193884,16
18-59,567509,45,537721,43
60+,41857,3,33174,3
Other,2690,0,5051,0
