group,fValue,fPercent,mValue,mPercent
0-04,425229,14,438389,13
05-11,600189,20,645248,19
12-17,378049,13,430506,13
18-59,1440052,49,1786622,52
60+,104392,4,93673,3
Other,17215,1,32809,1
