group,fValue,fPercent,mValue,mPercent
0-04,41674,14,40646,12
05-11,44717,15,46108,14
12-17,31148,10,35402,11
18-59,104933,35,120745,37
60+,6733,2,5287,2
Other,73063,24,80979,25
