group,fValue,fPercent,mValue,mPercent
0-04,468462,16,498860,15
05-11,595175,20,631768,19
12-17,343883,12,385524,11
18-59,1416285,48,1759228,52
60+,99762,3,88975,3
Other,20300,1,27493,1
