group,fValue,fPercent,mValue,mPercent
0-04,190556,15,201295,14
05-11,263890,21,281225,20
12-17,152065,12,172847,12
18-59,603800,48,714495,50
60+,41095,3,34177,2
Other,9840,1,10812,1
