group,fValue,fPercent,mValue,mPercent
0-04,466981,16,497705,15
05-11,574668,20,613565,18
12-17,351413,12,399643,12
18-59,1424255,49,1780149,52
60+,101926,3,90695,3
Other,10955,0,13455,0
